DocumentRatingSource,FlownYear,FlownMonth,AgentCode,AgentName,POS,POSCountryName,OriginCode,DestinationCode,CargoType,ProductCode,SpecialHandlingCodeList,CommodityCode,ChargeableWeight,Pieces,Revenue
XXXX,2017,NOVEMBER ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,RC,21,1,15.05
XXXX,2017,SEPTEMBER,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,13.2,1,9.46
XXXX,2017,SEPTEMBER,PJMIGRN,PJMIGWSX3CI1SROQTOOFWTJYDDMKEH,JLL,LVSSPJMDKYSQRCHI,JLL,ZZZ,YYY,X,RWCBA,ZW,15.6,1,9.16
XXXX,2017,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,3,1,2.15
XXXX,2017,SEPTEMBER,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,BW,12,1,17.08
XXXX,2017,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,BW,4.2,1,5.98
XXXX,2017,SEPTEMBER,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,RU,7.2,1,10.25
XXXX,2017,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,30.3,1,274.021
XXXX,2017,SEPTEMBER,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,BW,0.3,1,0.43
XXXX,2017,NOVEMBER ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,RU,9.9,1,14.09
XXXX,2017,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,BM,0.3,1,0.43
XXXX,2017,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,BW,0.3,1,0.43
XXXX,2017,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,180,3,1606.333
XXXX,2017,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,BW,4.5,1,6.41
XXXX,2017,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,BM,2.4,1,3.42
XXXX,2017,SEPTEMBER,SPRTOEI,SPRTOO1CIFHDSOFDUDSYBQZLZHU,YJZ,YJZWNRBGXHRSCJZIQCW,YJZ,ZZZ,YYY,X,RWCBA,RU,11.7,1,3.705
XXXX,2017,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,210,3,1870.904
XXXX,2017,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,RU,0.3,1,0.43
XXXX,2017,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,BW,3.6,1,5.12
XXXX,2017,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,60,2,180
XXXX,2017,SEPTEMBER,SPRTOEI,SPRTOO1CIFHDSOFDUDSYBQZLZHU,YJZ,YJZWNRBGXHRSCJZIQCW,YJZ,ZZZ,YYY,X,RWCBA,RL,2.1,1,0.665
XXXX,2017,NOVEMBER ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,RU,0.3,1,0.43
XXXX,2017,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,BV,1.5,1,2.14
XXXX,2017,OCTOBER  ,SPRTOEI,SPRTOO1CIFHDSOFDUDSYBQZLZHU,YJZ,YJZWNRBGXHRSCJZIQCW,YJZ,ZZZ,YYY,X,RWCBA,RL,5.4,1,1.71
XXXX,2017,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,30,1,274.021
XXXX,2017,NOVEMBER ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,RU,3.6,2,5.12
XXXX,2017,NOVEMBER ,SPRTOEI,SPRTOO1CIFHDSOFDUDSYBQZLZHU,YJZ,YJZWNRBGXHRSCJZIQCW,YJZ,ZZZ,YYY,X,RWCBA,RL,2.4,1,0.76
XXXX,2017,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,102,2,306
XXXX,2017,NOVEMBER ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,BM,0.3,1,0.43
XXXX,2017,NOVEMBER ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,BV,1.2,1,1.71
XXXX,2017,SEPTEMBER,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,RU,8.7,1,12.38
XXXX,2017,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,45,1,135
XXXX,2017,NOVEMBER ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,BM,2.1,1,2.99
XXXX,2017,SEPTEMBER,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,RU,7.8,1,11.1
XXXX,2017,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,120,2,1067.741
XXXX,2017,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,RU,12.3,1,17.51
XXXX,2017,SEPTEMBER,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,6.6,1,66.145
XXXX,2017,OCTOBER  ,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,30,1,90
XXXX,2017,OCTOBER  ,PBKDDPW,PBKDWYFR3DRTS3ZLNHTSGTJYDDMKEH,JUW,JJDIVESWZJQEAYOPBCLJ,JUW,ZZZ,YYY,X,RWCBA,RU,5.7,1,8.11
XXXX,2017,OCTOBER  ,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,8.7,1,86.467
XXXX,2017,SEPTEMBER,RQNSHPB,FIQOBRQNSH0TJYDDMKEH,ZJK,JXJTPLCGXHRSCJZIQCW,ZVF,ZZZ,YYY,X,RWCBA,BM,7.5,1,178.389
XXXX,2017,SEPTEMBER,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,33,1,23.65
XXXX,2017,OCTOBER  ,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,30,1,278.619
XXXX,2017,SEPTEMBER,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,ZW,18.9,1,13.55
XXXX,2017,SEPTEMBER,RQNSHPB,FIQOBRQNSH0TJYDDMKEH,ZJK,JXJTPLCGXHRSCJZIQCW,ZVF,ZZZ,YYY,X,RWCBA,BV,9.6,1,228.346
XXXX,2017,OCTOBER  ,SPRTQLS,SPRT4FP23CI1H34U12IFDORKMSBKLSW,QQJ,FBDFZRQ7ONHZOUWG0XX3VAORZJQEAYOPBCLJ,FTS,ZZZ,YYY,X,RWCBA,RW,39.6,1,28.38
XXXX,2017,OCTOBER  ,VBTDDVB,VBTDW0QNSHVLXPOOMDT,JNV,PJMIV5OVXKAFPJMDKYSQRCHI,JNV,ZZZ,YYY,Y,RWCBA,B2324,44.7,1,413.124
